"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
1,68,"ECU","Ecuador",1,"Azuay",1,"Chordeleg",1,"Chordeleg","Parroquia","Parish",NA,NA
2,68,"ECU","Ecuador",1,"Azuay",1,"Chordeleg",2,"La Union","Parroquia","Parish",NA,NA
3,68,"ECU","Ecuador",1,"Azuay",1,"Chordeleg",3,"Luis Galarza Orellana","Parroquia","Parish",NA,NA
4,68,"ECU","Ecuador",1,"Azuay",1,"Chordeleg",4,"Principal","Parroquia","Parish",NA,NA
5,68,"ECU","Ecuador",1,"Azuay",1,"Chordeleg",5,"San Martin de Puzhio","Parroquia","Parish",NA,NA
6,68,"ECU","Ecuador",1,"Azuay",2,"Cuenca",6,"Baños","Parroquia","Parish",NA,NA
7,68,"ECU","Ecuador",1,"Azuay",2,"Cuenca",7,"Chaucha","Parroquia","Parish",NA,NA
8,68,"ECU","Ecuador",1,"Azuay",2,"Cuenca",8,"Checa","Parroquia","Parish",NA,NA
9,68,"ECU","Ecuador",1,"Azuay",2,"Cuenca",9,"Chiquintad","Parroquia","Parish",NA,NA
10,68,"ECU","Ecuador",1,"Azuay",2,"Cuenca",10,"Cuenca","Parroquia","Parish",NA,NA
11,68,"ECU","Ecuador",1,"Azuay",2,"Cuenca",11,"Cumbe","Parroquia","Parish",NA,NA
12,68,"ECU","Ecuador",1,"Azuay",2,"Cuenca",12,"Llacao","Parroquia","Parish",NA,NA
13,68,"ECU","Ecuador",1,"Azuay",2,"Cuenca",13,"Molleturo","Parroquia","Parish",NA,NA
14,68,"ECU","Ecuador",1,"Azuay",2,"Cuenca",14,"Nulti","Parroquia","Parish",NA,NA
15,68,"ECU","Ecuador",1,"Azuay",2,"Cuenca",15,"Octavio Cordero","Parroquia","Parish",NA,NA
16,68,"ECU","Ecuador",1,"Azuay",2,"Cuenca",16,"Paccha","Parroquia","Parish",NA,NA
17,68,"ECU","Ecuador",1,"Azuay",2,"Cuenca",17,"Quingeo","Parroquia","Parish",NA,NA
18,68,"ECU","Ecuador",1,"Azuay",2,"Cuenca",18,"Ricaurte","Parroquia","Parish",NA,NA
19,68,"ECU","Ecuador",1,"Azuay",2,"Cuenca",19,"San Joaquin","Parroquia","Parish",NA,NA
